國文,英文,數學,社會,自然
10,10,7,15,6
6,13,6,10,9
13,15,7,11,9
15,11,11,6,15
15,7,7,6,7
6,15,12,12,12
6,10,6,15,6
15,12,9,6,7
12,7,10,8,14
9,10,15,12,12
9,15,10,7,13
10,8,15,13,15
14,15,9,14,12
9,13,7,8,13
8,6,8,6,13
6,15,8,13,7
13,11,15,12,12
14,6,15,15,13
6,8,10,8,8
12,14,13,6,6
11,12,15,14,13
14,7,7,7,14
10,12,10,12,14
8,7,8,10,7
9,11,14,9,14
15,13,6,14,9
13,8,12,12,11
11,10,15,12,9
8,11,8,6,15
9,7,12,14,14
6,9,7,13,11
15,14,13,7,6
6,6,8,6,14
6,7,13,8,6
10,14,8,15,10
14,6,14,12,15
14,7,13,6,12
14,14,8,13,7
14,15,7,8,7
13,14,6,13,9
11,13,7,8,11
13,6,6,6,7
13,10,9,13,15
11,9,6,11,6
14,9,11,7,10
6,15,13,10,14
12,15,11,13,8
9,11,8,6,11
7,12,14,15,13
11,14,14,14,12
8,13,13,10,13
6,9,14,15,10
8,15,13,11,11
7,14,8,11,11
9,10,15,15,10
8,9,9,14,9
8,14,15,7,9
11,12,8,9,6
11,13,13,14,14
13,7,14,14,12
15,13,8,13,15
12,8,14,14,13
8,15,8,13,9
14,14,9,11,11
6,13,9,9,8
12,10,12,8,8
12,7,9,6,9
7,10,11,13,11
14,7,7,13,8
8,14,14,9,10
14,8,8,6,14
15,13,10,15,14
14,9,15,14,8
7,8,8,9,11
15,14,14,7,9
12,7,11,9,13
12,13,15,6,14
10,14,6,11,11
6,13,12,13,10
9,10,7,11,14
14,12,11,13,12
9,10,8,9,6
14,7,15,9,10
13,10,13,11,11
8,12,10,15,14
9,12,13,15,14
11,10,7,12,11
8,11,11,8,9
7,13,14,9,9
10,10,14,7,6
10,9,6,10,7
13,8,14,6,8
7,15,7,7,9
9,13,14,12,8
15,9,9,13,12
10,9,10,9,10
7,10,12,11,12
8,6,13,9,14
15,7,9,14,6
10,13,14,12,10
